signal,price,cash,position,position_value,total_value,daily_pnl,returns,cumulative_returns,drawdown
0.0,4.40500020980835,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.3480000495910645,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.355000019073486,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.389999866485596,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.40500020980835,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.460000038146973,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.480000019073486,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.5229997634887695,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.546999931335449,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.5970001220703125,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.572000026702881,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.574999809265137,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.557000160217285,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.590000152587891,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.598999977111816,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.609000205993652,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.619999885559082,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.603000164031982,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.61299991607666,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.610000133514404,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.586999893188477,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.568999767303467,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.551000118255615,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.520999908447266,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
0.0,4.553999900817871,1083349.011219466,0,0.0,1083349.011219466,0.0,0.0,0.08334901121946547,-0.01057229524687818
